domain,name,country,city,category,estimated_monthly_sales,currency,plus,payments,discovered_at,email
mothercityliquor.co.za,Mothercity Liquor,ZA,Cape Town,Food & Drink,330826.16,ZAR,false,Google Pay;Zapper;Stitch;PayJustNow,,info@mothercityliquor.co.za
bathu.co.za,Bathu Sneakers,ZA,Centurion,Apparel,328035.76,ZAR,true,Yoco;PayJustNow;Ozow;Payflex;Happy Pay;Stitch,,hq@bathu.co.za
cosmeticconnection.co.za,Cosmetic Connection,ZA,Bloemfontein,Beauty & Fitness,326205.69,ZAR,false,PayFast;Payflex;Ozow;Mobicred;Zapper;Bank Deposit;PayJustNow,,socialsupport@cosweb.co.za
hyperli.com,Hyperli,ZA,Cape Town,Beauty & Fitness,312561.69,ZAR,false,Peach Payments;Payflex;Ozow;Happy Pay,,support@hyperli.com
maxmotorsport.co.za,Max Motorsport,ZA,Durban,Autos & Vehicles,295148.83,ZAR,false,Peach Payments;Credit Card;Ozow;Bank Deposit;Payflex,,info@maxmotorsport.co.za
highspeedgas.co.za,High Speed Gas,ZA,Johannesburg,Autos & Vehicles,291832.96,ZAR,false,PayGate;Cash on Delivery,Fri Sep 11 2026 02:00:00 GMT+0200 (South Africa Standard Time),info@highspeedgas.co.za
readerswarehouse.co.za,Readers Warehouse,ZA,Cape Town,Books & Literature,288363.07,ZAR,false,PayFast;Bob Pay;Stitch;Payflex,,
shop-beauty.dior.co.za,DIOR ZA,ZA,Midrand,Beauty & Fitness,286333.69,ZAR,true,PayFast;Bank Deposit,,
sunhats.co.za,SUNHATS,ZA,Sandton,Apparel,286283.3,ZAR,false,PayFast;Bank Deposit;Mobicred;Zapper;Payflex,,info@sunhats.co.za
fila.co.za,fila.co.za,ZA,Johannesburg,Apparel,286143.43,ZAR,false,Capitec Pay;Credit Card;Payflex;Mobicred;SnapScan;Ozow;Happy Pay;PayJustNow,,fila@1721.co.za
haircity.co.za,Hair city srl,ZA,Johannesburg,Beauty & Fitness,285108.67,ZAR,false,Capitec Pay;Payflex;PayFast;Credit Card;Mobicred;Zapper;Bank Deposit;PayJustNow;Happy Pay;Float,,partners@haircity.co.za
britelighting.co.za,britelighting.co.za,ZA,Benoni,Home & Garden,282592.01,ZAR,false,Payflex;PayGate,,sales@britelighting.co.za
actiongear.co.za,Action Gear,ZA,Johannesburg,Consumer Electronics,281121.6,ZAR,false,PayFast,,sales@actiongear.co.za
mopani.co.za,Mopani,ZA,Mbombela,Health,276757.52,ZAR,false,PayFast;Payflex;PayGate;Mobicred,,online@mopani.co.za
usn.co.za,USN® Online Store,ZA,Centurion,Health,273142.68,ZAR,true,Capitec Pay;PayFast;Payflex;Ozow;Zapper,,info@usn.co.za
africologyspa.com,Africology South Africa,ZA,Randburg,Beauty & Fitness,271526.2,ZAR,false,PayFast;Payflex;Mobicred;Zapper;Bank Deposit,,info@africologyspa.com
thecasioshop.co.za,The Casio Shop,ZA,Cape Town,Apparel,264137.28,ZAR,false,Credit Card;Mobicred;Bank Deposit;Zapper;Payflex;PayFast;PayJustNow,,info@thecasioshop.co.za
bootlegger.coffee,Bootlegger Coffee Company,ZA,Cape Town,Food & Drink,262742.07,ZAR,false,Bank Deposit;Apple Pay;Google Pay;Capitec Pay;Instant EFT;PayJustNow,,orders@bootlegger.co.za
futurelight.co.za,Future Light Design,ZA,Cape Town,Home & Garden,261981.05,ZAR,false,Capitec Pay;Payflex,,info@futurelight.co.za
froggie.co.za,www.froggie.co.za,ZA,Durban,Apparel,258049.12,ZAR,false,Capitec Pay;PayFast;Zapper;PayJustNow;Happy Pay,,online@froggie.co.za
kingsleyheath.co.za,Kingsley Heath,ZA,Durban,Apparel,252278.05,ZAR,false,PayFast;Mobicred;Zapper;Payflex;Bank Deposit;PayJustNow,,onlinehelp@kingsleyheath.co.za
za-roshambobaby.glopalstore.com,ro•sham•bo eyewear,ZA,,Apparel,248065.76,USD,false,PayPal,,
tape.co.za,TAPE Online,ZA,Pretoria,Apparel,246063.06,ZAR,false,Peach Payments,,info@tape.co.za
kidsliving.co.za,kidsliving.co.za,ZA,Cape Town,Home & Garden:,245872.38,ZAR,false,PayGate;Bank Deposit,,info@kidsliving.co.za
subwear.co.za,Subwear,ZA,Johannesburg,Apparel,225832.61,ZAR,false,Apple Pay;Google Pay;Peach Payments;Payflex;PayFast;Credit Card;Bank Deposit;Ozow;Mobicred;Zapper;PayJustNow;Happy Pay;Float,,info@subwear.co.za
cctv-direct.co.za,CCTV Direct,ZA,Johannesburg,Safety & Survival,221456.75,ZAR,false,Capitec Pay;PayFast;Payflex;Bank Deposit;Mobicred;Zapper;Stitch;PayJustNow,Thu Sep 10 2026 02:00:00 GMT+0200 (South Africa Standard Time),info@cctv-direct.co.za
fashionfusion.co.za,Fashion Fusion,ZA,Pinetown,Apparel:,219490.78,ZAR,false,Payflex;PayGate;PayJustNow,,Customercare@fashionfusion.co.za
spccstore.com,www.spccstore.com,ZA,Cape Town,Apparel,217397.98,ZAR,true,Peach Payments;Bank Deposit;Mobicred;Payflex;PayJustNow,,support@spccbrand.com
globeauty.co.za,Glo Laser & Beauty,ZA,Pretoria,Beauty & Fitness,214797.83,ZAR,false,Payflex;PayGate,,online@globeauty.co.za
mushslime.com,Mush Slime,ZA,Cape Town,Food & Drink,213909.97,ZAR,false,PayFast;Payflex;Bank Deposit;Capitec Pay;Mobicred;Zapper,,hello@mushslime.com
habbyandlace.com,Habby And Lace,ZA,Vereeniging,Toys & Hobbies,213148.95,ZAR,false,PayGate,,info@habbyandlace.co.za
se-rene.co.za,Se.rene Collection – Se,ZA,,Apparel,212134.26,ZAR,false,Capitec Pay;PayFast;Zapper,,info@se-rene.co.za
tsonga.co.za,tsonga.co.za,ZA,Pietermaritzburg,Apparel,211404.11,ZAR,false,Capitec Pay;PayGate;Credit Card;Bank Deposit;Stitch;PayJustNow;Happy Pay;Float,,customercare@tsonga.com
optimized.co.za,Optimized,ZA,Sandton,Health,208223.59,ZAR,false,Capitec Pay;Peach Payments;Payflex;Mobicred,,info@optimized.co.za
firstshop.co.za,FirstShop,ZA,Midrand,Computers,208138.9,ZAR,true,PayFast;Ozow;Bank Deposit;Mobicred;Zapper;Payflex;Happy Pay,,enquiries@firstshop.co.za
mhcworld.co.za,MHC World,ZA,Pretoria,Consumer Electronics:,200365.63,ZAR,false,PayFast;PayGate;Payflex;PayJustNow;Stitch,,info@mhcworld.co.za
shimansky.co.za,Shimansky Jewellery – SHIMANSKY.CO.ZA,ZA,Cape Town,Apparel,198589.92,ZAR,false,Credit Card;PayPal,,
futurelife.com,FUTURELIFE®,ZA,Umhlanga,Health,197421.21,ZAR,false,Credit Card,,info@futurelife.co.za
capecoffeebeans.co.za,Cape Coffee Beans,ZA,Cape Town,Food & Drink,197150.03,ZAR,false,Capitec Pay;Credit Card;Bank Deposit;PayFast;SnapScan;Zapper;Mobicred;Stitch,,service@capecoffeebeans.co.za
za.keter.com,Keter,ZA,Durban,Home & Garden,194250.29,ZAR,false,Capitec Pay;PayFast;Payflex;Ozow;Zapper;Bank Deposit;Happy Pay,,info@keter.co.za
supercomm.co.za,Super Communications,ZA,Kempton Park,Computers,193903.6,ZAR,false,Peach Payments;Apple Pay;Capitec Pay;Payflex;Mobicred;PayGate;Bank Deposit,,accounts@supercomm.co.za
lemkus.com,Lemkus,ZA,Cape Town,Apparel,190218.7,ZAR,false,Ozow;Payflex;Credit Card;Stitch;PayJustNow;Happy Pay;Float,,info@jacklemkus.co.za
rioperfumes.co.za,Rio Perfumes,ZA,Johannesburg,Beauty & Fitness,186196.17,ZAR,false,Payflex;PayGate;Bank Deposit;PayJustNow;Happy Pay,,info@rioperfumes.co.za
dc1.co.za,DC.ONE,ZA,Johannesburg,Apparel,185543.86,ZAR,false,Capitec Pay;PayFast;Payflex;Mobicred;Zapper;PayJustNow,,info@dc1.co.za
soundmatch.co.za,soundmatch,ZA,Cape Town,Autos & Vehicles,184357.04,ZAR,false,Peach Payments;Payflex;Mobicred,,info@soundmatch.co.za
whiskybrother.com,South Africa– WhiskyBrother,ZA,Johannesburg,Food & Drink,183596.02,ZAR,false,Peach Payments;Bank Deposit,,info@whiskybrother.com
freestylesa.co.za,Freestyle SA,ZA,Cape Town,Apparel,182517.9,ZAR,false,PayFast;Peach Payments;Ozow;Mobicred;Zapper;Payflex;Bank Deposit;PayJustNow,,online@freestylesa.co.za
cumbooks.co.za,CUM Books,ZA,Vereeniging,Books & Media,176592.82,ZAR,true,Credit Card;Bank Deposit;SnapScan;Zapper;PayFast;Instant EFT,,online@cumbooks.co.za
wefix.co.za,weFix,ZA,Cape Town,Consumer Electronics,175541.89,ZAR,false,Capitec Pay;PayFast;Payflex;Mobicred;Zapper;Bank Deposit;PayJustNow;Happy Pay,,hello@wefix.co.za
hey-gorgeous.co.za,Hey Gorgeous!,ZA,Cape Town,Beauty & Fitness,175406.19,ZAR,false,PayFast;Bank Deposit;Mobicred;Zapper;Payflex;PayJustNow,,info@hey-gorgeous.co.za
maximed.co.za,Maximed,ZA,Standerton,Health,174527.2,ZAR,false,PayGate;Bank Deposit,,help@maximed.co.za
bubblesplastics.co.za,Bubbles Plastics,ZA,Rustenburg,Home & Garden,174463.78,ZAR,false,PayFast;Yoco;PayJustNow;Payflex,,online.sales@bubblesplastic.co.za
lecoqsportif.co.za,Le Coq Sportif,ZA,Centurion,Apparel,173385.67,ZAR,false,Capitec Pay;PayFast;PayJustNow,,online@lcs.co.za
dunns.co.za,www.dunns.co.za,ZA,Cape Town,Apparel,168756.13,ZAR,true,Peach Payments;PayJustNow;Happy Pay,,support@dunns.co.za
milex.co.za,Milex South Africa,ZA,Sandton,Home & Garden,167170.67,ZAR,false,Capitec Pay;PayGate;Payflex;Ozow;Credit Card;Float;Happy Pay,,info@milex.co.za
on-lynecomponents.com,Lyne Bicycle Components,ZA,Cape Town,Sports,164874.12,ZAR,false,PayFast,,info@lynecomponents.com
palladiumboots.co.za,Palladium South Africa,ZA,Johannesburg,Apparel,163746.08,ZAR,false,PayFast;Payflex;Credit Card;Mobicred;Zapper;Bank Deposit;Happy Pay;PayJustNow;Float,,palladium@partisanandco.com
sovietdenim.com,Soviet Denim Online Store,ZA,Midrand,Apparel,163365.57,ZAR,false,Capitec Pay;Mobicred;Zapper;Payflex;RCS;PayJustNow;Happy Pay,,support@sovietdenim.co.za
scoinshop.com,scoinshop.com,ZA,Sandton,Antiques & Collectibles:,156896.91,ZAR,false,PayGate;Ozow,,online@scoinshop.com
koodoo.co.za,KOODOO,ZA,Sandton,Computers,156579.81,ZAR,true,Capitec Pay;PayJustNow,,customercare@koodoo.co.za
megamaster.co.za,Megamaster,ZA,Pretoria,Home & Garden,155248.03,ZAR,false,Stitch,,ecommerce@megagroup.co.za
alva.co.za,alva.co.za,ZA,Cape Town,Home & Garden,153345.48,ZAR,false,Capitec Pay;Credit Card;Bank Deposit;SnapScan;Zapper;Mobicred;Payflex;Instant EFT,,info@stingray.co.za
arthur-ford.com,Arthur Ford,ZA,Pinetown,Beauty & Fitness,152394.21,ZAR,false,Capitec Pay;PayFast;Payflex;Apple Pay;Mobicred;Zapper;Bank Deposit;PayJustNow,,sales@afbrands.co.za
eduraonline.co.za,EDURA,ZA,Carletonville,Home & Garden,152203.95,ZAR,false,PayGate;Bank Deposit;Ozow,,info@edura.co.za
dellonline.co.za,Dell South Africa Online,ZA,Johannesburg,Computers,150808.75,ZAR,false,PayFast;Ozow;Bank Deposit;Mobicred;Zapper;Payflex;Happy Pay,,
homemark.co.za,mark,ZA,Sandton,Beauty & Fitness,148779.36,ZAR,false,Capitec Pay;Payflex;PayGate;Ozow;Credit Card;Float;Happy Pay,,weborders@homemark.co.za
boltontechnical.co.za,Bolton Technical,ZA,,Consumer Electronics:,147764.67,ZAR,false,Apple Pay;Capitec Pay;PayFast;Payflex;Mobicred;Zapper,,sales@boltontechnical.co.za
spadurban.co.za,spadurban.co.za,ZA,Durban,Beauty & Fitness,145798.7,ZAR,false,PayFast;Bank Deposit,,info1@spadurban.co.za
seedsforafrica.co.za,Seeds for Africa,ZA,Cape Town,Business & Industrial,145164.52,ZAR,false,Capitec Pay;Payflex,,
sa.lapp.com,sa.lapp.com,ZA,Kempton Park,Consumer Electronics,145164.52,ZAR,false,PayFast;Bank Deposit;Payflex,,Info.za.lza@lapp.com
amakipkip.com,www.amakipkip.com,ZA,Johannesburg,Apparel,145164.52,ZAR,false,Credit Card;PayPal;PayFast;Zapper;Payflex;Bank Deposit;Stitch,,amakipkipstore@gmail.com
mrsbigbitebeauty.com,MrsBigBite Beauty,ZA,Johannesburg South,Beauty & Fitness,144657.17,ZAR,false,PayFast;Payflex;Yoco;Bank Deposit;Zapper,,
diyshop.co.za,"DIYshop.co.za Click, Click, FixIT",ZA,Hendrina,Home & Garden,143464.71,ZAR,false,Ozow;Capitec Pay;Bank Deposit;Instant EFT;Stitch,,
canvasandmore.co.za,canvasandmore.co.za,ZA,Cape Town,Books & Literature,141613.09,ZAR,false,PayFast;Payflex;Mobicred;Zapper;PayJustNow,,info@canvasandmore.co.za
boodywear.co.za,Boody Bamboo Eco Wear,ZA,Durban,People & Society,141359.6,ZAR,true,Apple Pay;Google Pay;Capitec Pay;PayFast;Mobicred;Zapper;Payflex;PayJustNow,,sales@boodywear.co.za
eyesupply.co.za,Best Priced,ZA,Sandton,Health,141129.72,ZAR,false,Capitec Pay;PayFast;Ozow;Mobicred;Zapper;Payflex,,hello@eyesupply.co.za
trappers.co.za,Trappers,ZA,Johannesburg,Apparel:,141042.33,ZAR,false,Apple Pay;Google Pay;Capitec Pay;Payflex;Zapper;PayJustNow,,online.support@trappers.co.za
yellowsubtrading.co.za,Yellow Sub Trading,ZA,Pretoria,Apparel,139900.8,ZAR,true,PayPal;PayFast;Payflex;Ozow;Mobicred;Zapper;PayJustNow,,info@yellowsubtrading.co.za
brando.co.za,Brando Leather ©,ZA,Johannesburg,Apparel,138652.97,ZAR,false,Apple Pay;Google Pay;Capitec Pay;Payflex,,
hertexhaus.co.za,Hertex,ZA,Cape Town,Home & Garden,136032.28,ZAR,false,Apple Pay;Google Pay;PayFast;Bank Deposit;Mobicred;Zapper;SnapScan;Payflex;Stitch;Happy Pay,,onlineorders@hertex.co.za
clothingjunction.co.za,Clothing Junction,ZA,Durban North,Apparel,135398.1,ZAR,false,PayJustNow;Happy Pay;Payflex;Peach Payments,,online@cjunction.co.za
shop.valdevie.co.za,Val de Vie Estate,ZA,Paarl,Home & Garden,135081.01,ZAR,false,PayFast,,
homeswedehome.co.za,www.homeswedehome.co.za,ZA,Midrand,Home & Garden,134256.57,ZAR,false,Peach Payments;Bank Deposit;Payflex,,hello@homeswedehome.co.za
sedgars.com,sedgars.com,ZA,Vereeniging,Apparel,133051.62,ZAR,false,Peach Payments;PayFast;Payflex;Bank Deposit;Zapper;PayJustNow;Happy Pay,,web@sedgars.co.za
luxurytime.co.za,Luxurytime,ZA,Pretoria,Apparel,132861.36,ZAR,false,PayGate,,info@luxurytime.co.za
theculinarium.co.za,The Culinarium,ZA,Ladysmith,Home & Garden,132417.44,ZAR,false,Capitec Pay;PayFast;Peach Payments;Payflex;Mobicred;Zapper;Bank Deposit;PayJustNow,,culinariumonline@gmail.com
mysexshop.co.za,My Sex Shop,ZA,Cape Town,Adult,132254.36,ZAR,false,PayFast,,info@lingerieshop.co.za
sascootershop.co.za,SA Scooter Shop,ZA,Benoni,Sports,131783.25,ZAR,false,PayJustNow;PayFast;Ozow,,sales@sascootershop.co.za
boardriders.co.za,Boardriders,ZA,Durban North,Sports,131656.42,ZAR,false,Credit Card;PayFast;Peach Payments;Zapper;Payflex;Mobicred;Float;PayJustNow,,support@boardriders.co.za
timberlandwatches.co.za,Timberland Watches Online,ZA,Johannesburg,Apparel,131318.36,ZAR,false,Apple Pay;Google Pay;PayFast;Bank Deposit;SnapScan;Zapper;Mobicred;Payflex;Ozow;RCS,,online@timberlandwatches.co.za
burnt.co.za,Burnt Studios™,ZA,Cape Town,Apparel,130705.14,ZAR,false,Apple Pay;Google Pay;Capitec Pay;PayGate;Ozow;PayJustNow,,marketing@burnt.co.za
powerforum-store.co.za,powerforum-store.co.za,ZA,Paarl,Electronics,130699.27,ZAR,false,Bank Deposit,,sales@powerforum-store.co.za
fastrak.co.za,Fastrak,ZA,Kempton Park,Arts & Entertainment,129563.61,ZAR,false,PayFast;PayJustNow;Payflex;Stitch;Capitec Pay,,online@fastrak.co.za
toolservices.co.za,Power Tool Services,ZA,Cape Town,Home & Garden,129500.19,ZAR,false,Peach Payments,,info@toolservices.co.za
connecteddevices.co.za,www.connecteddevices.co.za,ZA,Sandton,Consumer Electronics:,127932.86,ZAR,false,PayFast;Peach Payments;Payflex;PayGate;Ozow;Mobicred;Zapper;PayJustNow;Happy Pay,,help@connecteddevices.co.za
vellieboutique.co.za,Vellie Boutique,ZA,Boksburg,Apparel,127470.81,ZAR,false,Capitec Pay;Payflex;Ozow;PayJustNow,,shop@vellieboutique.co.za
bawasfurn.com,Bawas Furnishers,ZA,Ladysmith,Home & Garden,127362.09,ZAR,false,Capitec Pay;Payflex;PayJustNow,,info@bawasfurn.co.za
glowtheory.com,glowtheory.com,ZA,Johannesburg,Beauty & Fitness,127217.13,ZAR,false,Capitec Pay;PayFast;Yoco;Mobicred;Zapper;Payflex;Bank Deposit;Happy Pay,,hello@glowtheory.co.za
preciouscargo.co.za,Precious Cargo,ZA,Johannesburg,People & Society,127035.94,ZAR,false,Capitec Pay;PayFast;Payflex;Bank Deposit;Stitch,,
med365.co.za,Med365,ZA,Johannesburg,Health,127026.88,ZAR,false,PayGate;Bank Deposit,,help@med365.co.za
omniblend.co.za,OmniBlend Blenders,ZA,Randburg,Home & Garden,126913,ZAR,false,Credit Card;Capitec Pay;Bank Deposit;Happy Pay;PayJustNow,,
surehatch.co.za,Surehatch Incubators and Hatchers,ZA,Cape Town,Business & Industrial,126791.33,ZAR,false,PayFast,,sales@surehatch.co.za
thomassabo.co.za,thomassabo.co.za,ZA,Johannesburg,Apparel,126447.51,ZAR,false,Apple Pay;Google Pay;PayFast;Bank Deposit;SnapScan;Zapper;Mobicred;Payflex;Ozow;RCS,,jewelleryrepairs@tregergroup.co.za
hponline.co.za,www.hponline.co.za,ZA,Midrand,Computers,125812.87,ZAR,false,PayFast;Bank Deposit;Mobicred;Zapper;Payflex,,enquiries@hponline.co.za
danielkleinwatches.co.za,danielkleinwatches.co.za,ZA,Johannesburg,Apparel,125060.91,ZAR,false,Bank Deposit,,online@danielkleinwatches.co.za
veldskoen.com,www.veldskoen.com,ZA,Cape Town,Apparel,124182.11,ZAR,false,PayFast;Mobicred;Zapper;Payflex;PayJustNow,,accounts@dorp.africa
npl.za.com,NPL,ZA,Randburg,Health,124182.11,ZAR,false,Peach Payments;Payflex;Bank Deposit,,info@npl.za.com
shoebox.co.za,Shoe Box™ Online Store,ZA,Johannesburg,Apparel,124100.58,ZAR,false,PayGate;Credit Card;Mobicred;Apple Pay;Google Pay;Payflex;Zapper;PayJustNow,,customercare@shoebox.co.za
essentiallynatural.co.za,Essentially Natural,ZA,Cape Town,Beauty & Fitness,123937.5,ZAR,true,Peach Payments,,support@essentiallynatural.co.za
truth.coffee,Truth Coffee Roasting,ZA,Cape Town,Food & Drink,123774.43,USD,false,PayPal,,info@truth.coffee
zinplex.co.za,Zinplex South Africa,ZA,Pretoria,Health,122714.43,ZAR,false,PayGate,,info@zinplex.co.za
lighting.co.za,Lighting.co.za,ZA,Cape Town,Home & Garden,121409.83,ZAR,false,Capitec Pay;Payflex,,hello@lighting.co.za
newworld.co.za,New World,ZA,Pretoria,Home & Garden,121128.98,ZAR,false,Float;Credit Card;PayFast;Peach Payments;Ozow;Happy Pay;Bank Deposit;Mobicred;Zapper;Payflex,,online@newworld.co.za
erabydjzinhle.com,ERABYDJZINHLE,ZA,Sandton,Apparel,120177.7,ZAR,false,PayFast;PayJustNow;Payflex;Yoco;Happy Pay;Mobicred;Zapper,,erasalesservice@djzinhle.com
musicexperience.co.za,Music Experience,ZA,Cape Town,Arts & Entertainment,120023.69,ZAR,false,PayFast;Instant EFT;Bank Deposit,,info@musicexperience.co.za
za.easyskinz.com,Official Shop– EasySkinzâ„¢,ZA,,Consumer Electronics:,119421.52,ZAR,false,Credit Card;Shop Pay;PayPal,,hello@easyskinz.com
kiddiemajigs.co.za,kiddiemajigs.co.za,ZA,Johannesburg,Toys & Hobbies,117822.16,ZAR,false,PayFast;Payflex;Bank Deposit;Zapper,,info@kiddiemajigs.co.za
jockey.co.za,Jockey,ZA,Durban,Apparel,117496.01,ZAR,false,PayFast;PayJustNow;Mobicred;Zapper;Payflex;Instant EFT;Bank Deposit,,hello@jockey.co.za
decorhandles.co.za,Decor Handles,ZA,Johannesburg,Home & Garden,117169.86,ZAR,false,Apple Pay;Google Pay;Payflex;Bank Deposit,,sales@decorhandles.co.za
sportsa.co.za,SportSA,ZA,Paarl,Apparel:,116626.28,ZAR,false,PayFast;Apple Pay;Capitec Pay;Google Pay;PayJustNow;Peach Payments;Payflex;Ozow;Zapper;SnapScan;Mobicred;Instant EFT;Bank Deposit;Stitch,,info@sportsa.co.za
autostyling.net,Autostyling Klerksdorp,ZA,Klerksdorp,Autos & Vehicles,115457.57,ZAR,false,PayFast;Payflex;PayJustNow,,sales@autostyling.net
gorillaphones.co.za,Gorilla Phones,ZA,Centurion,Consumer Electronics:,114479.11,ZAR,false,Yoco,,sales@gorillaphones.co.za
homehypercity.co.za,Hyper City,ZA,Pretoria,Home & Garden,112522.2,ZAR,false,Peach Payments;Bank Deposit;Mobicred,,online.homehypercity@gmail.com
coffeecapsulesdirect.co.za,Coffee Capsules Direct,ZA,Cape Town,Food & Drink,112377.25,ZAR,false,PayFast;SnapScan;Zapper;Payflex,,info@ccdirect.co.za
thekidzone.co.za,thekidzone.co.za,ZA,Cape Town,Toys & Hobbies,111489.39,ZAR,false,PayFast;PayJustNow;Payflex;Ozow;Mobicred;Zapper;Instant EFT;Bank Deposit,,support@thekidzone.co.za
